Challenge,Cartographer,Map,Links,Area,City,Topics,Types,Tools
**02** ^Lines^,**@kjsime** ^Kerrin Sime^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/kjsime_02.jpg),[tweet](https://twitter.com/kjsime/status/1323067769923928064) ,New Zealand,Auckland,,,ArcGIS
**01** ^Points^,**@rocopley1** ^Russell Copley^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/rocopley1_01.jpg),[tweet](https://twitter.com/rocopley1/status/1322985681317109760) ,Canada,Vancouver,,,
**01** ^Points^,**@Letyludigital** ^Leticia Luna^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Letyludigital_01.jpg),[tweet](https://twitter.com/Letyludigital/status/1323046291367100416) ,Mexico,,,,QGIS
**18** ^Land use^,**@professorkao** ^Dennis Kao^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/professorkao_18.jpg),[tweet](https://twitter.com/professorkao/status/1329098219230474241) ,,,,,QGIS
**04** ^Hexagons^,**@Ichisa5** ^Elisa Schneider^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Ichisa5_04.jpg),[tweet](https://twitter.com/Ichisa5/status/1324115018854682630) [web](https://github.com/ichisa/30DayMapChallenge/tree/main/day4),South America,,animals,,R
**18** ^Land use^,**@Cchurchili** ^Carl Churchill^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Cchurchili_18.jpg),[tweet](https://twitter.com/Cchurchili/status/1329123672150380548) ,,,,,
**29** ^Globe^,**@SavoirsEnBulles** ^Les Savoirs Ambulants^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/SavoirsEnBulles_29.jpg),[tweet](https://twitter.com/SavoirsEnBulles/status/1333009411812585479) [web](https://www.lessavoirsambulants.fr/p/30daymapchallenge.html),,,,,
**02** ^Lines^,**@deboleenam5** ^Deboleena^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/deboleenam5_02.jpg),[tweet](https://twitter.com/deboleenam5/status/1323390187418902529) ,,,,,
**04** ^Hexagons^,**@Di_dyne** ^Di_Dyne^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Di_dyne_04.jpg),[tweet](https://twitter.com/Di_dyne/status/1325768346902597638) ,,,,,
**17** ^Historical^,**@JulienQuotidien** ^Julien^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JulienQuotidien_17.jpg),[tweet](https://twitter.com/JulienQuotidien/status/1328733849266872320) ,,,,,
**02** ^Lines^,**@richa_marwaha** ^Richa Marwaha^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/richa_marwaha_02.jpg),[tweet](https://twitter.com/richa_marwaha/status/1323324721828683777) ,,,,,ArcGIS
**05** ^Blue^,**@footloose_nil** ^Nilanjan Chatterjee^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/footloose_nil_05.jpg),[tweet](https://twitter.com/footloose_nil/status/1324391390042796033) ,,,,,R
**17** ^Historical^,**@tonuoja** ^Tõnu Oja^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tonuoja_17.jpg),[tweet](https://twitter.com/tonuoja/status/1328840723974778880) ,,,,,
**10** ^Grid^,**@darwinanddavis** ^Matt Malishev^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darwinanddavis_10.jpg),[tweet](https://twitter.com/darwinanddavis/status/1326479238434709504) [web](https://darwinanddavis.github.io/DataPortfolio/30daymapchallenge/#day-10-grid),Australia,Melbourne,,,R
**18** ^Land use^,**@aina_don** ^Aina Le Don^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/aina_don_18.jpg),[tweet](https://twitter.com/aina_don/status/1329048863894888450) ,,,,,
**12** ^Non-GIS^,**@LenkaHas** ^Lenka Hasova^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/LenkaHas_12.jpg),[tweet](https://twitter.com/LenkaHas/status/1326815893268074496) ,,,,,
**21** ^Water^,**@Pow__C** ^Claire Powell^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Pow__C_21.jpg),[tweet](https://twitter.com/Pow__C/status/1330930546109771778) ,,,,,
**08** ^Yellow^,**@ArunVishwanat10** ^Arun Vishwanath^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ArunVishwanat10_08.jpg),[tweet](https://twitter.com/ArunVishwanat10/status/1326127740131500032) ,,,,,QGIS
**06** ^Red^,**@antoaasa** ^Anto Aasa^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/antoaasa_06.png),[tweet](https://twitter.com/antoaasa/status/1324663948780646400) ,Estonia,Tartu,COVID-19,,
**12** ^Non-GIS^,**@mapsbyp** ^Patrycja Krajczyńska^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/mapsbyp_12.jpg),[tweet](https://twitter.com/mapsbyp/status/1326866626231283714) ,,,,,
**08** ^Yellow^,**@jgoodyear9** ^James Goodyear^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/jgoodyear9_08.jpg),[tweet](https://twitter.com/jgoodyear9/status/1325375248036978688) ,,,,,
**06** ^Red^,**@bus_jus** ^🏰 Stephen Biesty-Mode 🏰^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/bus_jus_06.jpg),[tweet](https://twitter.com/bus_jus/status/1324924630872645632) ,,,,,R
**13** ^Raster^,**@JulesGrandin** ^Jules Grandin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JulesGrandin_13.jpg),[tweet](https://twitter.com/JulesGrandin/status/1327186944711749634) ,,,,,
**11** ^3D^,**@maptheclouds** ^MapTheClouds^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/maptheclouds_11.jpg),[tweet](https://twitter.com/maptheclouds/status/1326581573085515776) ,,,,,
**05** ^Blue^,**@ChrisB_Key** ^Chris Brown^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ChrisB_Key_05.jpg),[tweet](https://twitter.com/ChrisB_Key/status/1324366508663951367) ,,,,,
**13** ^Raster^,**@KonturInc** ^Kontur^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/KonturInc_13.jpg),[tweet](https://twitter.com/KonturInc/status/1327249097095573505) ,,,,,
**12** ^Non-GIS^,**@Kenneth_KHW** ^Kenneth Wong^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Kenneth_KHW_12.jpg),[tweet](https://twitter.com/Kenneth_KHW/status/1326837404825575425) ,,,,,
**30** ^A map^,**@balt_ti** ^Tatiana^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/balt_ti_30.jpg),[tweet](https://twitter.com/balt_ti/status/1333248400087797761) ,Russia,,,joyplot,R
**02** ^Lines^,**@topographos2** ^Michal Michalski^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/topographos2_02.png),[tweet](https://twitter.com/topographos2/status/1323563495275847681) ,Syria,,archaeology,,R
**03** ^Polygons^,**@emu_info** ^Emu Analytics^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/emu_info_03.jpg),[tweet](https://twitter.com/emu_info/status/1323972578738884613) [web](https://locationinsights.co.uk/b/qd),World,,,interactive,
**02** ^Lines^,**@neocartocnrs** ^neocarto^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/neocartocnrs_02.jpg),[tweet](https://twitter.com/neocartocnrs/status/1323211638842007554) ,,,,,
**06** ^Red^,**@DanaeKontou** ^Danae Kontou^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/DanaeKontou_06.jpg),[tweet](https://twitter.com/DanaeKontou/status/1324849913713303552) ,,,,,
**07** ^Green^,**@geomigr** ^Cartographie(s) & Migration(s)^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geomigr_07.png),[tweet](https://twitter.com/geomigr/status/1324992484922056706) ,,,,,
**09** ^Monochrome^,**@iMohamedlil** ^Mohammed Alhassan^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/iMohamedlil_09.jpg),[tweet](https://twitter.com/iMohamedlil/status/1325885845342199809) ,Saudi Arabia,,,,QGIS
**16** ^Islands^,**@PratapVardhan** ^Pratap Vardhan^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/PratapVardhan_16.jpg),[tweet](https://twitter.com/PratapVardhan/status/1328534768250736640) ,,,,,Python
